STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
6451099999,1940-06-03,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.5,4,9999.9,0,1026.6,4,999.9,0,4.7,4,3.0,4,5.1,999.9,70.0,*,54.0,*,0.0,I,999.9,100000
6451099999,1940-06-10,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",71.5,4,9999.9,0,1014.8,4,999.9,0,2.0,4,4.0,4,8.9,999.9,81.0, ,61.0, ,0.0,I,999.9,0
6451099999,1940-06-18,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",65.8,4,9999.9,0,1020.6,4,999.9,0,9.3,4,11.8,4,18.1,999.9,79.0, ,54.0, ,0.02,E,999.9,10000
6451099999,1940-06-23,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.8,4,9999.9,0,995.6,4,999.9,0,3.1,4,5.2,4,8.9,999.9,72.0, ,57.0, ,0.02,E,999.9,10000
6451099999,1940-06-30,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",67.5,4,9999.9,0,1025.7,4,999.9,0,5.0,4,3.2,4,8.9,999.9,79.0, ,46.0, ,0.0,I,999.9,0
6451099999,1940-07-03,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.8,4,9999.9,0,1009.5,4,999.9,0,3.1,4,16.3,4,23.9,999.9,68.0, ,61.0, ,0.05,F,999.9,0
6451099999,1940-07-04,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",62.2,4,9999.9,0,1007.6,4,999.9,0,5.6,4,16.0,4,23.9,999.9,66.0, ,59.0, ,99.99, ,999.9,10000
6451099999,1940-07-05,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.8,4,9999.9,0,1010.4,4,999.9,0,5.9,4,17.0,4,23.9,999.9,68.0, ,54.0, ,0.01,E,999.9,10000
6451099999,1940-07-06,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",67.0,4,9999.9,0,1007.6,4,999.9,0,14.0,4,8.0,4,13.0,999.9,75.0, ,57.0, ,0.0,I,999.9,0
6451099999,1940-07-07,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",62.7,4,9999.9,0,1004.0,4,999.9,0,6.8,4,10.0,4,18.1,999.9,66.0,*,59.0,*,0.04,E,999.9,10000
6451099999,1940-07-09,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",63.5,4,9999.9,0,1020.5,4,999.9,0,9.3,4,8.2,4,13.0,999.9,75.0, ,54.0, ,0.0,I,999.9,0
6451099999,1940-07-11,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",65.8,4,9999.9,0,1010.4,4,999.9,0,8.4,4,13.5,4,18.1,999.9,75.0, ,63.0, ,0.0,I,999.9,0
6451099999,1940-07-12,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.5,4,9999.9,0,1014.0,4,999.9,0,17.1,4,6.0,4,13.0,999.9,70.0, ,55.0, ,0.0,I,999.9,0
6451099999,1940-07-13,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.5,4,9999.9,0,1014.3,4,999.9,0,7.8,4,15.0,4,23.9,999.9,68.0,*,54.0, ,0.01,E,999.9,0
6451099999,1940-07-14,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.0,4,9999.9,0,1012.0,4,999.9,0,8.4,4,6.3,4,13.0,999.9,73.0, ,55.0, ,0.12,E,999.9,10000
6451099999,1940-07-15,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.5,4,9999.9,0,1009.6,4,999.9,0,5.9,4,4.0,4,8.9,999.9,72.0, ,55.0, ,0.12,E,999.9,0
6451099999,1940-07-16,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.5,4,9999.9,0,1006.8,4,999.9,0,8.4,4,10.0,4,13.0,999.9,84.0, ,59.0, ,0.2,E,999.9,0
6451099999,1940-07-17,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.8,4,9999.9,0,1008.0,4,999.9,0,4.3,4,13.5,4,18.1,999.9,70.0, ,59.0, ,0.22,F,999.9,10000
6451099999,1940-07-18,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",59.5,4,9999.9,0,1010.7,4,999.9,0,9.3,4,15.7,4,23.9,999.9,70.0, ,52.0, ,0.14,F,999.9,0
6451099999,1940-07-19,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",62.0,4,9999.9,0,1012.4,4,999.9,0,6.8,4,11.0,4,13.0,999.9,70.0, ,54.0, ,0.09,F,999.9,10000
6451099999,1940-07-20,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.5,4,9999.9,0,1014.9,4,999.9,0,6.2,4,10.2,4,18.1,999.9,70.0, ,55.0, ,0.05,F,999.9,10000
6451099999,1940-07-21,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.8,4,9999.9,0,1015.3,4,999.9,0,9.3,4,19.7,4,23.9,999.9,68.0, ,54.0, ,0.04,E,999.9,10000
6451099999,1940-07-23,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.3,4,9999.9,0,1014.2,4,999.9,0,3.4,4,4.3,4,5.1,999.9,68.0, ,52.0, ,0.02,E,999.9,10000
6451099999,1940-07-24,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.2,4,9999.9,0,1013.6,4,999.9,0,4.3,4,6.8,4,13.0,999.9,70.0, ,54.0, ,0.06,F,999.9,10000
6451099999,1940-07-27,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",55.3,4,9999.9,0,1016.0,4,999.9,0,1.7,4,6.5,4,13.0,999.9,63.0, ,52.0, ,0.55,E,999.9,10010
6451099999,1940-07-30,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",60.0,4,9999.9,0,1023.1,4,999.9,0,2.2,4,4.5,4,8.9,999.9,64.0, ,57.0, ,0.04,F,999.9,10000
6451099999,1940-07-31,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",63.0,4,9999.9,0,1023.8,4,999.9,0,3.6,4,5.2,4,8.9,999.9,68.0,*,57.0, ,0.01,E,999.9,0
6451099999,1940-08-01,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.3,4,9999.9,0,1024.2,4,999.9,0,4.0,4,3.5,4,5.1,999.9,68.0, ,57.0, ,0.02,E,999.9,10000
6451099999,1940-08-04,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",70.5,4,9999.9,0,1021.0,4,999.9,0,7.5,4,1.3,4,5.1,999.9,84.0, ,54.0, ,0.0,I,999.9,0
6451099999,1940-08-07,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.5,4,9999.9,0,1013.6,4,999.9,0,4.3,4,2.7,4,5.1,999.9,73.0, ,55.0, ,0.02,E,999.9,10000
6451099999,1940-08-08,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",66.0,4,9999.9,0,1016.2,4,999.9,0,5.0,4,14.2,4,23.9,999.9,73.0, ,59.0, ,0.04,F,999.9,10000
6451099999,1940-08-09,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",66.5,4,9999.9,0,1017.7,4,999.9,0,7.8,4,14.5,4,18.1,999.9,75.0, ,52.0, ,0.0,I,999.9,0
6451099999,1940-08-10,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",65.0,4,9999.9,0,1012.7,4,999.9,0,3.1,4,14.7,4,23.9,999.9,73.0, ,59.0,*,0.02,E,999.9,10000
6451099999,1940-08-14,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.0,4,9999.9,0,1019.6,4,999.9,0,2.6,4,8.7,4,13.0,999.9,72.0, ,48.0, ,0.16,E,999.9,10000
6451099999,1940-08-18,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",67.5,4,9999.9,0,1024.7,4,999.9,0,3.6,4,7.2,4,13.0,999.9,81.0, ,57.0, ,0.0,I,999.9,0
6451099999,1940-08-20,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",58.0,4,9999.9,0,1015.6,4,999.9,0,6.2,4,10.0,4,13.0,999.9,63.0,*,52.0, ,0.06,F,999.9,10000
6451099999,1940-08-21,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",58.5,4,9999.9,0,1001.2,4,999.9,0,4.3,4,12.2,4,18.1,999.9,61.0, ,55.0, ,0.5,F,999.9,10000
6451099999,1940-08-24,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",52.5,4,9999.9,0,1018.2,4,999.9,0,5.3,4,8.9,4,8.9,999.9,61.0, ,48.0, ,0.04,F,999.9,10000
6451099999,1940-08-26,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",64.5,4,9999.9,0,1024.9,4,999.9,0,3.4,4,6.3,4,13.0,999.9,73.0, ,57.0, ,0.0,I,999.9,0
6451099999,1940-08-28,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",58.7,4,9999.9,0,1027.4,4,999.9,0,13.0,4,4.5,4,8.9,999.9,68.0, ,50.0, ,0.02,E,999.9,10000
6451099999,1940-08-31,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.0,4,9999.9,0,1030.2,4,999.9,0,3.1,4,4.8,4,8.9,999.9,75.0, ,46.0, ,0.0,I,999.9,0
6451099999,1940-09-01,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",67.5,4,9999.9,0,1026.0,4,999.9,0,4.3,4,10.0,4,13.0,999.9,79.0, ,55.0, ,0.0,I,999.9,0
6451099999,1940-09-04,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",66.5,4,9999.9,0,1022.9,4,999.9,0,4.0,4,1.7,4,5.1,999.9,81.0, ,55.0,*,0.0,I,999.9,0
6451099999,1940-09-05,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",73.0,4,9999.9,0,1021.2,4,999.9,0,4.3,4,5.1,4,5.1,999.9,86.0, ,59.0, ,0.0,I,999.9,0
6451099999,1940-09-06,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",66.7,4,9999.9,0,1021.0,4,999.9,0,3.0,4,2.5,4,5.1,999.9,75.0, ,61.0, ,0.0,I,999.9,0
6451099999,1940-09-07,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",66.0,4,9999.9,0,1018.6,4,999.9,0,4.0,4,5.0,4,8.9,999.9,79.0, ,54.0, ,0.0,I,999.9,0
6451099999,1940-09-08,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",62.2,4,9999.9,0,1009.7,4,999.9,0,4.3,4,12.5,4,18.1,999.9,75.0, ,55.0, ,0.02,E,999.9,10000
6451099999,1940-09-09,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",55.0,4,9999.9,0,1011.5,4,999.9,0,7.5,4,5.8,4,13.0,999.9,59.0, ,50.0, ,0.22,F,999.9,10000
6451099999,1940-09-10,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",53.5,4,9999.9,0,1017.1,4,999.9,0,2.6,4,6.0,4,13.0,999.9,66.0, ,43.0, ,0.02,E,999.9,10000
6451099999,1940-09-12,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",52.7,4,9999.9,0,1023.2,4,999.9,0,5.9,4,7.2,4,13.0,999.9,63.0, ,43.0, ,0.02,E,999.9,0
6451099999,1940-09-13,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",56.3,4,9999.9,0,1008.8,4,999.9,0,3.1,4,19.5,4,23.9,999.9,59.0, ,54.0, ,0.75,F,999.9,10000
6451099999,1940-09-14,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",54.0,4,9999.9,0,1001.4,4,999.9,0,6.8,4,13.3,4,18.1,999.9,61.0, ,48.0, ,0.02,E,999.9,0
6451099999,1940-09-15,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",53.2,4,9999.9,0,996.4,4,999.9,0,3.4,4,14.7,4,29.9,999.9,59.0, ,50.0, ,0.12,F,999.9,10000
6451099999,1940-09-16,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",52.2,4,9999.9,0,1007.8,4,999.9,0,5.3,4,8.5,4,18.1,999.9,61.0, ,46.0, ,0.05,F,999.9,10000
6451099999,1940-09-17,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.7,4,9999.9,0,1006.2,4,999.9,0,5.9,4,26.9,4,29.9,999.9,66.0, ,54.0, ,0.1,F,999.9,10000
6451099999,1940-09-18,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",58.5,4,9999.9,0,1013.2,4,999.9,0,6.8,4,17.2,4,23.9,999.9,68.0, ,54.0, ,0.02,E,999.9,0
6451099999,1940-09-20,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",61.2,4,9999.9,0,1005.1,4,999.9,0,5.9,4,17.0,4,23.9,999.9,68.0, ,57.0, ,0.16,F,999.9,10000
6451099999,1940-09-21,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",55.0,4,9999.9,0,1009.5,4,999.9,0,3.0,4,4.5,4,8.9,999.9,61.0, ,54.0, ,0.18,F,999.9,10000
